date,channel,format,topic,source_post,draft
2026-04-20,X / Twitter,thread (7 tweets),Manifesto launch — indicators are not data,ai-gruppe-manifesto,"Tweet 1: Everyone racing to add AI to their factory floor. Nobody asks where the data comes from. 🧵

Tweet 2: Most operators think they're watching their process. They're not. They're watching indicators. Indicators are not data.

Tweet 3: Data pulled from a PLC through a protocol never designed for scale — that's a bottleneck dressed as instrumentation. SAP forms filled by hand — that's a human acting as a transducer. Neither is a real transform.

Tweet 4: The physicist doesn't solve problems in the noisy physical domain. They transform the problem first — into an abstract space where solutions are tractable. That's the Laplace transform. It's also exactly what a monitoring system does.

Tweet 5: Sensor → timestamped data stream → anomaly detection → actuation. You can't skip step one and call the rest AI. You cannot solve in the abstract if your transform is broken.

Tweet 6: We've been building that transform layer for twelve years. Nuclear cooling circuits, rail switching, semiconductor fabs. The gap was never in robotics or LLMs. It was always in the instrument itself.

Tweet 7: The full manifesto is live — on why monitoring is the foundation of the automation wave, and why that wave is the most human project we know: [link]"
2026-04-20,LinkedIn,long-form post (600–900 words),Why monitoring is the bottleneck nobody in industrial AI talks about,ai-gruppe-manifesto,"Why monitoring is the bottleneck nobody in industrial AI talks about

Every conversation about AI in manufacturing starts in the wrong place.

Companies want predictive maintenance. Anomaly detection. Autonomous process control. All reasonable goals. The first question they ask is: which model should we use?

Wrong question.

The right question is: do you actually have data? Not indicators. Not KPIs aggregated at 15-minute intervals. Not a dashboard that refreshes when someone clicks. Data — continuous, timestamped, calibrated, stored with enough resolution that a model can reason about it.

Most manufacturers don't. They have a PLC talking to a SCADA system through a protocol that was designed before the internet existed. An operator noting readings on a clipboard. A sensor that fires an alarm when a threshold is crossed but records nothing in between.

There is a concept from mathematics I use every day outside of mathematics: the Laplace transform. When a differential equation is unsolvable in its original domain, you transform the problem into an abstract space where it becomes tractable — solve it there, then transform back. A monitoring system does exactly this. Physical world → sensor → time series → model → actuation. The sensor is the transform.

But if the transform is lossy — if data is batched, dropped, manually entered, or simply not collected — nothing downstream can compensate. You cannot solve in the abstract if your transform is broken.

This is not a metaphor for us. At Auto-Intern, we've been building the transform layer for twelve years, in industries where unmonitored processes quickly become very expensive. What we've learned: the gap is almost never in the AI. It's almost always in the instrument.

We published our full position on this today. Link in the first comment.

If you're planning an AI project for your production environment and you haven't answered the data question first, you're building on air. Happy to talk through what that foundation actually looks like."
2026-04-21,Discord,discussion prompt + opening example,Community seed — monitoring failure stories,ai-gruppe-manifesto,"The manifesto is live: [link]

One line from it that I keep returning to: 'Critical infrastructure that isn't monitored isn't critical — it's just unexamined risk.'

Question for the room: where have you seen a monitoring gap turn into something expensive — in time, money, or credibility? Factory, server room, home network, research lab — anything goes.

I'll start: we had a customer running a cooling circuit on a production line. No continuous temperature logging — just a high-temp alarm that cut the line. The alarm fired. They assumed sensor glitch, reset it, kept running. Three hours later the line was down for two days. The data that would have shown the gradual drift upward over six hours simply didn't exist.

Your turn."
2026-04-21,Instagram,quote card (static image),Visual pull quote from the manifesto,ai-gruppe-manifesto,"Card text: ""Critical infrastructure that isn't monitored isn't critical — it's just unexamined risk.""

Caption: The manifesto is live. Link in bio. — Auto-Intern Gruppe"
2026-04-22,X / Twitter,single tweet + rack photo,Dual uplink setup reveal with photo,dual-uplink-feb-2026,"15 people, one office, two uplinks.

We put a Debian box between Starlink and DSL, set two default routes by metric, and let Linux handle the failover automatically. When DSL hiccups, nobody in the office notices. No commercial appliance. No configuration wizard. Just iproute2.

We called it AI-heimdall. [photo]

Full config and writeup: [link]"
2026-04-22,LinkedIn,technical post (400–600 words),Dual uplink implementation details,dual-uplink-feb-2026,"In February, Philipp Lehmann and I added a second internet uplink to the office.

The problem: 15 people, one DSL line, too many simultaneous video calls. The fix: add Starlink as a secondary path and let the routing layer decide which one to use.

Here's how we did it without buying anything expensive:

A Debian rack PC (hostname: AI-heimdall, named after the Norse watchman who sees all nine worlds — a naming tradition started by Odin Holmes) sits between the two uplinks and the internal network. Three interfaces: eno1 for DSL (static IP into the modem), eno2 for Starlink (DHCP), eno4 for the internal network at 10.42.0.0/16.

Two default routes in the main routing table, differentiated by metric. DSL at metric 1001, Starlink at metric 1003. Linux prefers the lower metric. When DSL drops its gateway, that route disappears from the table and traffic flows over Starlink automatically — no manual intervention, no script, no outage visible to anyone in the office.

We also pre-registered two named tables (starlink and dsl) in /etc/iproute2/rt_tables for future policy routing, so we can eventually pin specific traffic — VPN, video calls — to a specific uplink regardless of which is preferred. That's the next step.

A small Python dashboard reads interface stats for both uplinks and displays real-time throughput on a screen in the office. It's also the sanity check: immediately obvious if everything is routing over one link when it shouldn't be.

The actual engineering was in the details: making sure the Starlink DHCP lease doesn't write a competing default route into the main table and displace DSL. Philipp handled the physical installation and integration with the existing backbone; I handled the routing config.

The result: the bottlenecks are gone. More importantly, when DSL has a bad day, nobody in the office notices.

Full writeup with config details and photos: [link]"
2026-04-22,YouTube,community post / teaser,Solicit input for upcoming manifesto video,ai-gruppe-manifesto,"The manifesto is live on the blog.

It's the clearest statement of what we're building and why — why monitoring infrastructure matters more than the models sitting on top of it, and what it means to say the transform is broken.

A video version is coming. I want to go deep on the parts that land in text but need a diagram to really click.

What would you want me to spend most time on?

→ The Laplace transform analogy and what it actually means for data pipelines
→ The installed base argument — why retrofit beats greenfield
→ How a monitoring system works end to end: sensor to actuation
→ The philosophical case for automation as liberation

Comment below. Link in description."
2026-04-23,TikTok,talking-head video (45–90 s),Everyone adds AI — nobody checks the data pipeline,ai-gruppe-manifesto,"[0:00–0:03] Direct to camera: 'Everyone is adding AI to their factory. Almost nobody asks where the data comes from.'

[0:04–0:18] 'A model is only as good as its input. If your data is batched, delayed, or entered by hand — it doesn't matter how sophisticated the model is. Most industrial data pipelines are exactly that: a PLC talking to software through a protocol that predates the internet, or an operator with a clipboard.'

[0:19–0:38] 'Think of it like a transform. You can't solve a differential equation in the noisy physical domain — you move it to an abstract space first. That's the Laplace transform. That's also what a sensor does. That's what a monitoring system does. It's the step that makes computation possible.'

[0:39–0:52] 'The race to add AI to manufacturing is real. The missing step is the instrument. We've been building that layer for twelve years. Link in bio if you want to go deep.'"
2026-04-23,Instagram,carousel (6 slides),The transform analogy explained visually,ai-gruppe-manifesto,"Slide 1 (cover): ""The step nobody talks about in industrial AI""

Slide 2: ""The physical world is noisy. A vibrating machine, a temperature curve, a pressure spike — these don't arrive clean or structured.""

Slide 3: ""The Laplace transform: when a problem is unsolvable in its original domain, move it into an abstract space. Solve there. Transform back.""

Slide 4: ""A monitoring system does exactly this. Sensor → timestamped stream → anomaly detection → actuation. That's the full chain.""

Slide 5: ""If the sensor is lossy, batched, or missing — nothing downstream fixes it. You cannot solve in the abstract if your transform is broken.""

Slide 6 (CTA): ""We've been building this layer for 12 years. The manifesto is live — link in bio."""
2026-04-23,Douyin,talking-head video (30–60 s),Adapted TikTok for Chinese platform,ai-gruppe-manifesto,"Same structure as TikTok draft — requires Chinese subtitles and adapted caption. Core hook: '所有人都在工厂里部署AI，但没有人问数据从哪里来。' (Everyone deploys AI in factories, but nobody asks where the data comes from.) Coordinate with bilingual colleague for caption adaptation."
